stars,forks,open_issues,commit_count,size,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,age_days,days_since_push,days_since_update,lang_C,lang_C++,lang_Go,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_Python,lang_Rust,lang_TypeScript,lang_Unknown,is_org
418253,40141,299,38349,499189,1,1,1,0,0,0,0,4076,275,275,False,False,False,False,False,False,False,False,False,True,False,1
380944,35473,384,573,1061,1,0,1,0,0,0,0,2844,314,275,False,False,False,False,False,False,True,False,False,False,False,1
361470,29136,39,1169,1495,1,0,1,0,1,0,0,4242,277,275,False,False,False,False,False,False,False,False,False,False,True,0
357749,63402,74,9521,19455,1,0,1,0,1,0,0,4515,293,275,False,False,False,False,False,False,True,False,False,False,False,1
345764,36309,471,4536,4771,1,0,1,0,0,0,0,3623,276,275,False,False,False,False,False,False,False,True,False,False,False,1
321989,41557,235,6635,260534,1,0,1,1,0,0,0,3264,275,275,False,False,False,False,False,False,False,False,False,True,False,0
317878,78829,69,2511,22600,1,0,1,0,0,0,0,3546,441,275,False,False,False,False,False,False,False,False,False,False,True,0
300212,49802,489,333,11239,1,1,1,1,0,0,0,3281,275,275,False,False,False,False,False,False,False,True,False,False,False,0
272214,21097,16701,3217,187831,0,0,1,0,0,0,0,2523,505,275,False,False,False,False,False,False,False,False,False,False,True,0
244109,25690,480,1679,6769,0,0,1,0,1,0,0,4255,558,275,False,False,False,False,False,False,False,True,False,False,False,0
235600,48536,1055,20394,975441,1,0,1,0,1,0,0,4655,275,275,False,False,False,False,True,False,False,False,False,False,False,1
229289,10702,0,6793,16622,1,0,1,0,0,0,0,3917,276,275,False,False,False,False,False,False,False,False,False,False,True,1
228148,29792,223,570,438,1,1,1,1,0,1,0,3236,554,275,False,False,False,False,False,False,False,False,False,False,True,1
208881,33746,601,3593,32152,1,1,1,1,0,1,0,4589,498,275,False,False,False,False,False,False,False,False,False,True,False,1
200696,46794,385,3536,15377,1,1,1,1,1,1,0,3506,277,275,False,False,False,False,False,False,False,True,False,False,False,1
193942,55911,475,1353310,5560227,0,1,1,0,0,0,0,5282,275,275,True,False,False,False,False,False,False,False,False,False,False,0
191280,30671,364,1120,13564,1,0,1,0,0,0,0,2890,373,275,False,False,False,False,True,False,False,False,False,False,False,0
190052,74675,1289,180345,1162268,1,1,1,0,0,0,0,3758,275,275,False,True,False,False,False,False,False,False,False,False,False,1
182103,33637,125,1906,15060,1,1,1,0,0,0,0,4479,276,275,False,False,False,False,False,False,False,False,False,False,True,0
180275,51192,187,3781,116179,1,1,1,1,1,0,0,2929,548,275,False,False,False,False,False,False,False,False,False,False,True,0
180116,22843,14,1077,1745,1,1,1,1,1,0,0,4310,275,275,False,False,False,False,False,False,True,False,False,False,False,1
178620,26078,483,7526,12606,1,1,1,1,0,1,0,6020,278,275,False,False,False,False,False,False,True,False,False,False,False,1
175490,45724,197,6709,246534,1,0,1,1,0,0,0,1072,275,275,False,False,False,False,False,False,False,True,False,False,False,1
172329,79107,535,23005,256954,1,1,1,0,1,1,0,5319,276,275,False,False,False,False,False,False,True,False,False,False,False,1
171825,32471,10294,133637,1012257,1,1,1,1,0,0,0,3822,275,275,False,False,False,False,False,False,False,False,False,True,False,1
170345,28560,13067,84245,318049,1,1,1,1,0,0,0,4003,275,275,False,False,False,False,False,False,True,False,False,False,False,1
169739,10617,92,1069,1748,0,0,1,0,0,0,0,2799,458,275,False,False,False,False,False,False,False,False,False,False,True,0
166802,53866,722,463,396875,1,1,1,1,0,0,0,2913,329,275,False,False,False,False,False,True,False,False,False,False,False,0
166647,83083,494,3738,2583,0,0,1,0,0,1,0,5582,275,275,False,False,False,False,False,False,False,False,False,False,True,1
156033,14660,248,1218,2772,1,1,1,0,0,0,0,3929,605,275,False,False,False,False,False,False,False,False,False,False,True,0
152682,28399,2399,7689,36427,1,1,1,1,0,1,0,1278,293,275,False,False,False,False,False,False,False,True,False,False,False,0
149821,45842,70,5821,177078,1,1,1,1,0,1,0,2846,281,275,False,False,False,True,False,False,False,False,False,False,False,0
146755,26761,173,1983,3689,1,0,1,1,1,0,0,4858,438,275,False,False,False,False,True,False,False,False,False,False,False,1
144627,29024,1784,19031,309445,1,1,1,1,0,0,0,2671,275,275,False,False,False,False,False,False,False,True,False,False,False,1
144033,12300,123,5034,10509,1,0,1,0,1,1,0,4247,288,275,False,False,True,False,False,False,False,False,False,False,False,0
141207,11821,1843,4293,44313,1,0,1,0,0,0,0,969,275,275,False,False,True,False,False,False,False,False,False,False,False,1
135739,10333,4158,18934,65579,1,1,1,0,1,0,0,5591,292,275,False,False,False,False,False,False,False,True,False,False,False,1
135583,13182,0,373,11299,1,1,1,0,0,1,0,2230,278,275,False,False,False,False,False,False,True,False,False,False,False,1
131952,28424,3218,28821,2245008,1,0,1,0,0,1,0,3424,275,275,False,False,False,False,True,False,False,False,False,False,False,1
127967,23359,42,516,126276,1,1,1,1,0,1,0,2193,385,275,False,False,False,False,False,False,True,False,False,False,False,0
127917,18043,9367,63130,394816,1,1,1,1,0,1,0,4203,275,275,False,False,True,False,False,False,False,False,False,False,False,1
126347,15405,52,1302,32500,1,0,1,1,0,1,0,3517,298,275,False,False,False,False,False,False,False,False,False,True,False,0
125987,16762,271,708,1504,0,0,1,0,1,0,0,1173,280,275,False,False,False,False,True,False,False,False,False,False,False,0
123706,12167,0,10083,727848,1,0,1,0,0,0,0,3005,275,275,False,False,False,False,True,False,False,False,False,False,False,0
122382,11498,2404,2815,7502,1,0,1,1,0,0,0,3013,281,275,True,False,False,False,False,False,False,False,False,False,False,1
122115,24667,977,36803,918325,1,1,1,1,1,0,0,4060,275,275,False,True,False,False,False,False,False,False,False,False,False,1
119000,7038,6583,7971,428508,1,1,1,1,0,0,0,2487,275,275,False,False,False,False,False,False,True,False,False,False,False,1
116831,16054,951,29344,175653,1,1,1,0,0,0,0,4697,275,275,False,True,False,False,False,False,False,False,False,False,False,1
115248,40592,2525,130092,1370593,1,1,1,0,0,0,0,4276,275,275,False,False,True,False,False,False,False,False,False,False,False,1
113890,28320,31,924,1059,0,0,1,0,0,0,0,4491,585,275,False,False,False,False,False,False,False,False,False,False,True,0
112722,8861,1935,23191,54183,1,1,1,1,1,1,0,1943,275,275,False,False,False,False,False,False,False,True,False,False,False,1
112675,14002,24,2102,362630,1,1,1,0,1,1,0,1204,275,275,False,False,False,True,False,False,False,False,False,False,False,0
111821,10191,217,210,7069,1,1,1,0,0,1,0,3579,283,275,False,False,False,False,False,False,False,True,False,False,False,0
111343,31606,2244,44236,1340265,1,1,1,0,0,0,0,4103,275,275,False,False,False,False,True,False,False,False,False,False,False,1
110667,22863,20,4508,59338,1,0,1,0,1,1,0,5625,347,275,False,False,False,False,False,False,True,False,False,False,False,1
107875,17557,287,13392,429117,1,1,1,0,0,1,0,1222,275,275,False,False,False,False,False,True,False,False,False,False,False,1
106942,11139,679,1672,20429,1,1,1,0,0,1,0,4203,275,275,False,False,False,False,True,False,False,False,False,False,False,1
106306,35760,561,45315,1438221,1,0,0,1,1,0,0,5812,275,275,False,False,False,False,True,False,False,False,False,False,False,0
104568,12822,6045,36495,2882173,1,1,1,1,0,0,0,4266,275,275,False,False,False,False,False,False,False,False,False,True,False,1
103665,13348,11117,289850,668018,1,1,1,0,0,0,0,5727,275,275,False,False,False,False,False,False,False,False,True,False,False,1
103246,27008,2318,2819,25186,1,0,1,0,1,1,0,3505,370,275,False,False,False,False,True,False,False,False,False,False,False,1
103063,5587,2141,13708,173132,1,0,1,1,0,1,0,2838,275,275,False,False,False,False,False,False,False,False,True,False,False,1
102759,10441,80,3916,69535,1,1,1,0,0,0,0,3080,310,275,False,False,False,False,False,False,True,False,False,False,False,0
100173,9784,2151,3753,93048,1,1,1,0,0,1,0,2241,275,275,False,False,False,False,False,False,False,False,False,True,False,1
98392,14777,726,5819,94877,1,0,1,0,0,1,0,1045,275,275,False,False,False,False,False,False,False,False,False,True,False,1
98220,8563,1655,4591,153822,1,1,1,1,0,1,0,3115,276,275,False,True,False,False,False,False,False,False,False,False,False,1
97767,26217,1563,33271,542045,1,1,1,0,0,1,0,4173,275,275,False,False,False,False,False,False,False,False,False,True,False,1
97308,22416,15495,74467,1549819,1,1,1,0,0,0,0,4430,275,275,False,True,False,False,False,False,False,False,False,False,False,1
97002,15774,83,66,1764,1,1,1,0,0,0,0,421,317,275,False,False,False,False,False,False,False,True,False,False,False,1
96977,26650,824,14007,215984,1,0,1,0,1,0,0,2435,275,275,False,False,False,False,False,False,False,False,False,True,False,1
96514,10439,13,6272,8664,0,0,1,0,1,0,0,3991,275,275,False,False,False,False,False,False,True,False,False,False,False,0
95691,32567,1733,26843,688143,1,1,1,0,0,1,0,4203,275,275,False,False,False,False,False,False,False,False,False,True,False,1
95566,12309,217,10724,215015,1,0,1,1,0,1,0,867,275,275,False,False,False,False,True,False,False,False,False,False,False,1
94685,52384,1307,29486,223980,1,1,1,1,1,1,0,3955,275,275,False,False,False,False,False,False,False,False,False,True,False,1
94133,14040,61,1265,30401,1,1,1,0,0,0,0,3714,277,275,False,False,True,False,False,False,False,False,False,False,False,0
93861,3528,311,32183,868712,1,0,1,0,1,0,0,2654,275,275,False,False,False,False,False,False,False,False,False,True,False,1
93263,5954,1,879,230832,1,0,1,0,0,0,0,4450,292,275,False,False,False,False,False,False,True,False,False,False,False,1
92948,12421,109,546,520,1,1,1,1,0,0,0,3373,571,275,False,False,False,False,True,False,False,False,False,False,False,0
92701,2856,1116,5517,96532,1,1,1,0,0,1,0,2414,275,275,False,False,False,False,False,False,False,False,True,False,False,1
92686,9283,24,124,160,0,0,1,0,0,0,0,3614,398,275,False,False,False,False,False,False,False,False,False,False,True,1
91930,3688,377,1651,4043,1,1,1,1,0,0,0,3971,581,275,False,False,False,False,False,False,False,True,False,False,False,0
91829,26992,141,4336,46837,1,0,1,1,0,0,0,4213,276,275,False,False,False,True,False,False,False,False,False,False,False,0
90713,9203,271,5570,1106536,1,0,1,0,1,0,0,3208,275,275,False,False,False,False,False,False,False,False,False,True,False,1
90171,24218,16351,88011,1060010,1,1,1,1,0,0,0,3478,275,275,False,False,False,False,False,False,False,True,False,False,False,1
89696,6093,1972,32750,323635,1,1,1,1,0,1,0,4403,275,275,False,False,False,False,False,False,True,False,False,False,False,1
89391,11554,188,36,1585,1,1,1,0,0,0,0,396,317,275,False,False,False,False,False,False,False,False,False,False,True,1
89357,30602,1358,1020,15433,1,1,1,1,1,1,0,3231,484,275,False,False,False,False,False,False,True,False,False,False,False,0
88659,12654,63,10471,58900,1,1,1,1,0,1,0,1971,275,275,False,False,False,False,False,False,False,False,True,False,False,0
88085,13313,146,1756,95644,1,0,1,1,1,1,0,1928,275,275,False,False,False,False,True,False,False,False,False,False,False,1
87903,4534,69,6273,111032,1,0,1,0,0,1,0,3059,276,275,False,False,False,False,False,False,False,False,False,True,False,1
87270,5940,1792,769,27551,1,0,1,0,0,1,0,1143,277,275,False,False,False,False,False,False,False,False,False,True,False,1
87132,8016,54,284,183,1,1,1,1,0,0,0,3102,563,275,False,False,False,False,False,False,False,False,False,False,True,1
86678,9531,2185,69805,992978,1,1,1,0,0,1,0,3626,275,275,False,False,False,False,False,False,False,False,False,True,False,1
85277,9971,426,2411,464463,1,0,1,0,1,1,0,2183,277,275,False,False,False,False,False,False,True,False,False,False,False,0
84889,7345,363,5748,26447,1,1,1,1,0,1,0,2631,275,275,False,False,False,False,False,False,False,True,False,False,False,1
84632,8807,348,2255,3869,1,0,1,0,0,0,0,5790,302,275,False,False,False,False,False,False,True,False,False,False,False,1
83761,43470,15,1435,2039357,1,1,1,0,1,1,0,977,275,275,False,False,False,False,False,True,False,False,False,False,False,1
83716,37247,726,44966,282357,1,1,0,0,0,0,0,5542,275,275,False,True,False,False,False,False,False,False,False,False,False,1
83638,32571,329,33578,267832,0,0,1,0,0,0,0,5046,276,275,False,False,False,False,False,False,False,True,False,False,False,1
83443,61159,745,3042,20274,1,1,1,0,0,1,0,1078,307,275,False,False,False,False,False,False,False,False,False,True,False,1
83288,9690,478,536,614,1,1,1,1,0,0,0,2552,553,275,False,False,False,False,False,False,False,False,False,False,True,0
83188,8658,648,31390,1759975,1,1,1,0,0,1,0,2323,275,275,False,False,False,False,False,False,False,False,False,True,False,1
83085,6521,155,2219,21089,1,1,1,1,1,0,0,3505,283,275,False,False,False,False,True,False,False,False,False,False,False,0
82716,4518,813,10241,114384,1,1,1,1,0,1,0,3379,275,275,False,False,False,False,True,False,False,False,False,False,False,1
82367,8202,855,1835,3681,1,0,1,0,0,0,0,4266,275,275,False,False,True,False,False,False,False,False,False,False,False,1
82269,56162,2713,35253,546617,1,1,1,1,0,1,0,4964,275,275,False,True,False,False,False,False,False,False,False,False,False,1
82019,9888,95,158,4100,0,0,1,0,0,1,0,1252,283,275,False,False,False,False,False,False,False,True,False,False,False,1
81732,16209,60,664,2002,1,1,1,0,1,1,0,5245,570,275,False,False,False,False,False,False,True,False,False,False,False,1
81612,7442,71,974,35366,1,1,1,0,0,1,0,3646,445,275,False,False,False,False,False,False,False,False,False,True,False,1
80969,24356,31,7145,10857,0,0,1,0,0,0,0,5371,277,275,False,False,False,False,False,False,True,False,False,False,False,1
80948,7847,471,9037,130772,1,1,1,0,0,0,0,4614,275,275,False,False,True,False,False,False,False,False,False,False,False,1
80643,11857,778,5449,119583,1,1,1,1,0,1,0,1077,275,275,False,True,False,False,False,False,False,False,False,False,False,1
80379,29279,19,1056,58695,1,1,1,1,0,0,0,2879,284,275,False,False,False,True,False,False,False,False,False,False,False,0
80052,12655,11,2123,42357,1,0,1,1,0,1,0,2397,275,275,False,False,False,False,False,False,True,False,False,False,False,0
79423,7557,1348,12815,249999,1,1,1,1,1,1,0,4128,275,275,False,False,False,False,False,False,False,False,False,True,False,1
79139,33733,3036,94504,716205,1,1,1,0,0,0,0,4539,275,275,False,False,False,False,False,False,False,True,False,False,False,1
79036,3139,409,612,90315,1,0,1,1,0,1,0,4118,280,275,False,False,False,False,False,False,True,False,False,False,False,0
78168,3089,4916,12521,254861,1,0,1,0,0,1,0,1773,275,275,False,False,False,False,False,False,True,False,False,False,False,1
77646,19196,0,775,26586,1,0,1,0,1,1,0,2694,303,275,False,False,False,True,False,False,False,False,False,False,False,1
77578,6692,461,6328,76438,1,1,1,1,1,1,0,3987,336,275,False,False,False,False,False,False,False,True,False,False,False,0
77523,45599,1252,9599,640389,1,1,1,1,0,1,0,3668,281,275,False,False,False,False,False,False,False,True,False,False,False,1
77392,8507,2426,3495,70178,1,1,1,1,0,1,0,1130,275,275,False,False,False,False,False,False,False,True,False,False,False,0
77188,41175,548,54660,190811,1,0,1,1,0,0,0,4872,275,275,False,False,False,True,False,False,False,False,False,False,False,1
76058,16977,42,782,7771,1,1,1,1,1,1,0,2332,301,275,False,False,False,False,False,False,False,True,False,False,False,0
75926,13985,21,246,509807,1,1,1,1,0,0,0,2633,921,275,False,False,False,True,False,False,False,False,False,False,False,0
75244,12207,4165,27,132252,1,1,1,1,0,1,0,5117,430,275,False,False,False,False,True,False,False,False,False,False,False,1
74956,9086,50,451,488,1,0,1,1,0,0,1,3737,571,275,False,False,False,False,False,False,False,False,False,False,True,1
74591,6055,220,20289,231746,1,1,1,0,0,1,0,4631,275,275,True,False,False,False,False,False,False,False,False,False,False,1
74298,7162,715,976,4507,1,1,1,0,0,0,0,4468,326,275,False,False,False,False,True,False,False,False,False,False,False,0
74086,7261,16,848,824,1,0,1,0,0,0,0,3771,281,275,False,False,False,False,False,False,False,False,False,False,True,0
73479,14857,38,159,174188,1,1,1,1,0,0,0,2740,651,275,False,False,False,False,False,False,False,True,False,False,False,0
73374,24781,415,1491,5641,1,1,1,0,0,1,0,2052,275,275,False,False,False,False,True,False,False,False,False,False,False,0
73368,8012,715,2288,44833,1,1,1,1,0,1,0,1060,337,275,False,True,False,False,False,False,False,False,False,False,False,1
72912,9469,53,5217,13138,1,1,1,0,0,0,0,3776,281,275,False,False,False,False,False,False,False,False,False,False,True,1
72803,4159,811,14619,172282,1,0,1,0,0,0,0,2289,275,275,False,False,False,False,False,False,False,False,False,True,False,1
72789,6722,638,7778,46529,1,1,1,0,0,1,0,2131,275,275,False,False,False,False,False,False,False,False,False,True,False,1
72737,25209,5059,86648,1408135,1,1,1,0,0,0,0,5856,275,275,False,False,False,True,False,False,False,False,False,False,False,1
72371,7702,46,25,46759,1,1,1,1,0,0,0,885,322,275,False,False,False,False,False,False,False,False,False,False,True,1
72368,15725,10,1675,749206,1,0,1,1,1,1,0,1815,310,275,False,False,False,False,False,False,True,False,False,False,False,1
71796,5971,153,3941,53859,1,1,1,0,0,1,0,2550,276,275,False,False,False,False,False,False,False,False,False,True,False,1
71715,4918,542,5687,88585,1,1,1,1,0,1,0,2375,275,275,False,False,False,False,False,False,False,False,False,True,False,1
71007,7881,57,18209,381490,1,1,1,1,0,0,0,3302,275,275,False,False,False,False,False,False,False,False,False,True,False,1
70705,10440,604,33,43676,1,1,1,1,0,0,0,1290,612,275,False,False,False,False,False,True,False,False,False,False,False,1
70392,4526,385,7691,123029,1,1,1,1,0,0,0,4469,275,275,False,False,True,False,False,False,False,False,False,False,False,1
70297,2515,293,3260,6945,1,0,1,1,0,1,0,4503,277,275,False,False,True,False,False,False,False,False,False,False,False,0
70067,6490,3,709,3015,1,0,1,0,1,1,0,3049,371,275,False,False,False,False,False,False,False,False,False,False,True,0
69976,8634,123,762,3152,1,1,1,1,0,0,0,829,303,275,False,False,False,False,False,False,False,True,False,False,False,0
69759,18754,3565,52528,232395,1,1,1,1,0,1,0,4781,275,275,False,False,True,False,False,False,False,False,False,False,False,1
69717,6126,773,5753,28714,1,0,1,1,1,0,0,1693,276,275,False,False,False,False,True,False,False,False,False,False,False,0
69583,16436,11,5424,11009,1,0,1,0,0,1,0,5799,276,275,False,False,False,False,False,False,False,True,False,False,False,1
69440,11639,108,4116,316965,0,0,1,0,0,0,0,3103,570,275,False,False,False,False,False,False,False,True,False,False,False,1
69310,24043,2606,12607,200617,1,1,1,0,0,1,0,6179,275,275,True,False,False,False,False,False,False,False,False,False,False,1
68895,16728,855,3212,28071,1,1,1,1,1,1,0,5371,287,275,False,False,False,False,True,False,False,False,False,False,False,0
68735,9288,3,469,1084,1,1,1,1,0,0,0,3409,277,275,False,False,False,False,False,False,False,False,False,False,True,0
68575,10465,8251,183830,1242825,1,0,1,0,0,0,0,3772,275,275,False,True,False,False,False,False,False,False,False,False,False,1
68546,8346,274,2386,71926,1,1,1,1,0,1,0,1068,290,275,False,False,False,False,False,False,False,True,False,False,False,0
68499,2700,65,163,2746,1,1,1,1,0,0,0,1115,284,275,False,False,False,False,False,False,True,False,False,False,False,1
68459,9635,77,444,155796,1,1,1,1,0,1,0,880,275,275,False,False,False,False,False,False,False,True,False,False,False,0
68144,14904,7,1998,3054,1,0,1,0,1,0,0,4237,313,275,False,False,False,False,False,False,False,True,False,False,False,0
68117,7343,26,2001,2576,1,0,1,0,0,0,0,4216,440,275,False,False,False,False,False,False,False,False,False,False,True,0
